screenshot_label	screenshot_url
enrichr-up	https://raw.githubusercontent.com/denis-torre/datasets2tools-canned-analyses/master/data/screenshots/enrichr/Enrichr%20Up%201.png?raw=true
enrichr-up	https://raw.githubusercontent.com/denis-torre/datasets2tools-canned-analyses/master/data/screenshots/enrichr/Enrichr%20Up%202.png?raw=true
enrichr-up	https://raw.githubusercontent.com/denis-torre/datasets2tools-canned-analyses/master/data/screenshots/enrichr/Enrichr%20Up%203.png?raw=true
enrichr-down	https://raw.githubusercontent.com/denis-torre/datasets2tools-canned-analyses/master/data/screenshots/enrichr/Enrichr%20Dn%201.png?raw=true
enrichr-down	https://raw.githubusercontent.com/denis-torre/datasets2tools-canned-analyses/master/data/screenshots/enrichr/Enrichr%20Dn%202.png?raw=true
enrichr-down	https://raw.githubusercontent.com/denis-torre/datasets2tools-canned-analyses/master/data/screenshots/enrichr/Enrichr%20Dn%203.png?raw=true
l1000cds2-mimic	https://github.com/denis-torre/datasets2tools-canned-analyses/blob/master/data/screenshots/l1000cds2/l1000cds2%20mimic%201.png?raw=true
l1000cds2-mimic	https://github.com/denis-torre/datasets2tools-canned-analyses/blob/master/data/screenshots/l1000cds2/l1000cds2%20mimic%202.png?raw=true
l1000cds2-mimic	https://github.com/denis-torre/datasets2tools-canned-analyses/blob/master/data/screenshots/l1000cds2/l1000cds2%20mimic%203.png?raw=true
l1000cds2-reverse	https://github.com/denis-torre/datasets2tools-canned-analyses/blob/master/data/screenshots/l1000cds2/l1000cds2%20reverse%201.png?raw=true
l1000cds2-reverse	https://github.com/denis-torre/datasets2tools-canned-analyses/blob/master/data/screenshots/l1000cds2/l1000cds2%20reverse%201.png?raw=true
l1000cds2-reverse	https://github.com/denis-torre/datasets2tools-canned-analyses/blob/master/data/screenshots/l1000cds2/l1000cds2%20reverse%201.png?raw=true
paea	https://github.com/denis-torre/datasets2tools-canned-analyses/blob/master/data/screenshots/paea/paea%201.png?raw=true
paea	https://github.com/denis-torre/datasets2tools-canned-analyses/blob/master/data/screenshots/paea/paea%202.png?raw=true
paea	https://github.com/denis-torre/datasets2tools-canned-analyses/blob/master/data/screenshots/paea/paea%203.png?raw=true
